schema_version,experiment,seed,source,target,condition_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,pre_reset_epochs,pre_alarm_path_count,post_candidate_count,policy,path_count,post_reset_path_distance_from_pre_alarm,continuity_retention_vs_lemonade,state_break_distance,state_continuity_score,lane_collapse_rate,path_overlap,unique_path_ratio,clean_path_ratio,path_compromise_rate,mean_compromised_nodes_per_path,mean_node_score_risk_per_path,mean_raw_node_score_per_path,healthy_node_ratio,mean_degradation_risk_per_path,delta,success_continuity_retention,success_node_score_risk_reduced,success_degradation_risk_reduced,success_candidate
1.2.0,local-degradation-aware-lemonade-reselection,pilot-000,n4,n54,random,0.2,20,100,250,3,36,5,1,1,lemonade_reset,1,0.0,0.0,0.484375,0.515625,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5279378980271141,,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-000,n4,n54,random,0.2,20,100,250,3,36,5,1,1,node_score_aware_delta_0.90,1,0.0,0.0,0.44140625,0.55859375,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5279378980271141,0.9,False,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-000,n4,n54,random,0.2,20,100,250,3,36,5,1,1,degradation_aware_delta_0.90,1,0.0,0.0,0.47265625,0.52734375,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5279378980271141,0.9,False,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-000,n4,n54,random,0.2,20,100,250,3,36,5,1,1,degradation_aware_delta_0.85,1,0.0,0.0,0.4765625,0.5234375,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5279378980271141,0.85,False,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-000,n4,n54,random,0.2,20,100,250,3,36,5,1,1,degradation_aware_delta_0.80,1,0.0,0.0,0.44921875,0.55078125,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5279378980271141,0.8,False,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-000,n4,n54,targeted,0.2,20,100,250,3,36,5,1,1,lemonade_reset,1,0.0,0.0,0.484375,0.515625,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5279378980271141,,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-000,n4,n54,targeted,0.2,20,100,250,3,36,5,1,1,node_score_aware_delta_0.90,1,0.0,0.0,0.44140625,0.55859375,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5279378980271141,0.9,False,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-000,n4,n54,targeted,0.2,20,100,250,3,36,5,1,1,degradation_aware_delta_0.90,1,0.0,0.0,0.47265625,0.52734375,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5279378980271141,0.9,False,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-000,n4,n54,targeted,0.2,20,100,250,3,36,5,1,1,degradation_aware_delta_0.85,1,0.0,0.0,0.4765625,0.5234375,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5279378980271141,0.85,False,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-000,n4,n54,targeted,0.2,20,100,250,3,36,5,1,1,degradation_aware_delta_0.80,1,0.0,0.0,0.44921875,0.55078125,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5279378980271141,0.8,False,False,False,False
