schema_version,experiment,seed,source,target,compromise_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,pre_reset_epochs,pre_alarm_path_count,post_candidate_count,policy,path_count,post_reset_path_distance_from_pre_alarm,continuity_retention_vs_lemonade,state_break_distance,state_continuity_score,lane_collapse_rate,path_overlap,unique_path_ratio,clean_path_ratio,path_compromise_rate,mean_compromised_nodes_per_path,mean_node_score_risk_per_path,mean_raw_node_score_per_path,healthy_node_ratio,delta,success_continuity_retention,success_node_score_risk_reduced,success_candidate
1.1.0,node-score-aware-lemonade-reselection,pilot-000,n4,n54,random,0.2,20,100,250,3,36,5,1,1,lemonade_reset,1,0.0,0.0,0.484375,0.515625,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-000,n4,n54,random,0.2,20,100,250,3,36,5,1,1,node_score_aware_delta_0.90,1,0.0,0.0,0.46875,0.53125,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.9,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-000,n4,n54,random,0.2,20,100,250,3,36,5,1,1,node_score_aware_delta_0.75,1,0.0,0.0,0.53125,0.46875,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.75,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-000,n4,n54,random,0.2,20,100,250,3,36,5,1,1,node_score_aware_delta_0.60,1,0.0,0.0,0.5078125,0.4921875,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.6,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-000,n4,n54,random,0.2,20,100,250,3,36,5,1,1,node_score_aware_delta_0.50,1,0.0,0.0,0.546875,0.453125,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-000,n4,n54,targeted,0.2,20,100,250,3,36,5,1,1,lemonade_reset,1,0.0,0.0,0.484375,0.515625,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-000,n4,n54,targeted,0.2,20,100,250,3,36,5,1,1,node_score_aware_delta_0.90,1,0.0,0.0,0.46875,0.53125,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.9,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-000,n4,n54,targeted,0.2,20,100,250,3,36,5,1,1,node_score_aware_delta_0.75,1,0.0,0.0,0.53125,0.46875,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.75,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-000,n4,n54,targeted,0.2,20,100,250,3,36,5,1,1,node_score_aware_delta_0.60,1,0.0,0.0,0.5078125,0.4921875,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.6,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-000,n4,n54,targeted,0.2,20,100,250,3,36,5,1,1,node_score_aware_delta_0.50,1,0.0,0.0,0.546875,0.453125,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-001,n89,n84,random,0.2,20,100,241,3,36,5,3,12,lemonade_reset,3,0.9495670995670995,1.0,0.5065104166666666,0.49348958333333337,0.0,0.014492753623188406,1.0,0.0,1.0,3.3333333333333335,0.19662500000000002,0.8551724137931035,0.3793103448275862,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-001,n89,n84,random,0.2,20,100,241,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9476190476190477,0.997948484157739,0.51953125,0.48046875,0.0,0.047619047619047616,1.0,0.0,1.0,3.6666666666666665,0.166,1.0061224489795917,0.42857142857142855,0.9,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-001,n89,n84,random,0.2,20,100,241,3,36,5,3,12,node_score_aware_delta_0.75,3,0.907843137254902,0.9560600168948364,0.5182291666666666,0.48177083333333337,0.0,0.047619047619047616,1.0,0.0,1.0,3.0,0.15166666666666664,1.3,0.375,0.75,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-001,n89,n84,random,0.2,20,100,241,3,36,5,3,12,node_score_aware_delta_0.60,3,0.907843137254902,0.9560600168948364,0.5013020833333334,0.49869791666666663,0.0,0.047619047619047616,1.0,0.0,1.0,3.0,0.15166666666666664,1.3,0.375,0.6,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-001,n89,n84,random,0.2,20,100,241,3,36,5,3,12,node_score_aware_delta_0.50,3,0.907843137254902,0.9560600168948364,0.5130208333333334,0.48697916666666663,0.0,0.047619047619047616,1.0,0.0,1.0,3.0,0.15166666666666664,1.3,0.375,0.5,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-001,n89,n84,targeted,0.2,20,100,241,3,36,5,3,12,lemonade_reset,3,0.9495670995670995,1.0,0.5065104166666666,0.49348958333333337,0.0,0.014492753623188406,1.0,0.0,1.0,7.0,0.19662500000000002,0.8551724137931035,0.3793103448275862,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-001,n89,n84,targeted,0.2,20,100,241,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9476190476190477,0.997948484157739,0.51953125,0.48046875,0.0,0.047619047619047616,1.0,0.0,1.0,6.333333333333333,0.166,1.0061224489795917,0.42857142857142855,0.9,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-001,n89,n84,targeted,0.2,20,100,241,3,36,5,3,12,node_score_aware_delta_0.75,3,0.907843137254902,0.9560600168948364,0.5182291666666666,0.48177083333333337,0.0,0.047619047619047616,1.0,0.0,1.0,3.3333333333333335,0.15166666666666664,1.3,0.375,0.75,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-001,n89,n84,targeted,0.2,20,100,241,3,36,5,3,12,node_score_aware_delta_0.60,3,0.907843137254902,0.9560600168948364,0.5013020833333334,0.49869791666666663,0.0,0.047619047619047616,1.0,0.0,1.0,3.3333333333333335,0.15166666666666664,1.3,0.375,0.6,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-001,n89,n84,targeted,0.2,20,100,241,3,36,5,3,12,node_score_aware_delta_0.50,3,0.907843137254902,0.9560600168948364,0.5130208333333334,0.48697916666666663,0.0,0.047619047619047616,1.0,0.0,1.0,3.3333333333333335,0.15166666666666664,1.3,0.375,0.5,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-002,n71,n8,random,0.2,20,100,246,3,36,5,3,12,lemonade_reset,3,0.9188034188034188,1.0,0.53515625,0.46484375,0.0,0.13703703703703704,1.0,0.0,1.0,4.0,0.18914832535885165,0.9727272727272728,0.45454545454545453,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-002,n71,n8,random,0.2,20,100,246,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9308404558404559,1.0131007751937986,0.51171875,0.48828125,0.0,0.08454106280193237,1.0,0.0,1.0,4.333333333333333,0.14975438596491228,0.8147058823529412,0.5147058823529411,0.9,True,True,True
1.1.0,node-score-aware-lemonade-reselection,pilot-002,n71,n8,random,0.2,20,100,246,3,36,5,3,12,node_score_aware_delta_0.75,3,0.9252314814814815,1.006996124031008,0.46484375,0.53515625,0.0,0.1074074074074074,1.0,0.0,1.0,3.3333333333333335,0.13717105263157894,0.9949152542372882,0.4745762711864407,0.75,True,True,True
1.1.0,node-score-aware-lemonade-reselection,pilot-002,n71,n8,random,0.2,20,100,246,3,36,5,3,12,node_score_aware_delta_0.60,3,0.9252314814814815,1.006996124031008,0.4778645833333333,0.5221354166666667,0.0,0.1074074074074074,1.0,0.0,1.0,3.3333333333333335,0.13717105263157894,0.9949152542372882,0.4745762711864407,0.6,True,True,True
1.1.0,node-score-aware-lemonade-reselection,pilot-002,n71,n8,random,0.2,20,100,246,3,36,5,3,12,node_score_aware_delta_0.50,3,0.9252314814814815,1.006996124031008,0.51953125,0.48046875,0.0,0.1074074074074074,1.0,0.0,1.0,3.3333333333333335,0.13717105263157894,0.9949152542372882,0.4745762711864407,0.5,True,True,True
1.1.0,node-score-aware-lemonade-reselection,pilot-002,n71,n8,targeted,0.2,20,100,246,3,36,5,3,12,lemonade_reset,3,0.9188034188034188,1.0,0.53515625,0.46484375,0.0,0.13703703703703704,1.0,0.0,1.0,5.0,0.18914832535885165,0.9727272727272728,0.45454545454545453,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-002,n71,n8,targeted,0.2,20,100,246,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9308404558404559,1.0131007751937986,0.51171875,0.48828125,0.0,0.08454106280193237,1.0,0.0,1.0,6.333333333333333,0.14975438596491228,0.8147058823529412,0.5147058823529411,0.9,True,True,True
1.1.0,node-score-aware-lemonade-reselection,pilot-002,n71,n8,targeted,0.2,20,100,246,3,36,5,3,12,node_score_aware_delta_0.75,3,0.9252314814814815,1.006996124031008,0.46484375,0.53515625,0.0,0.1074074074074074,1.0,0.0,1.0,5.333333333333333,0.13717105263157894,0.9949152542372882,0.4745762711864407,0.75,True,True,True
1.1.0,node-score-aware-lemonade-reselection,pilot-002,n71,n8,targeted,0.2,20,100,246,3,36,5,3,12,node_score_aware_delta_0.60,3,0.9252314814814815,1.006996124031008,0.4778645833333333,0.5221354166666667,0.0,0.1074074074074074,1.0,0.0,1.0,5.333333333333333,0.13717105263157894,0.9949152542372882,0.4745762711864407,0.6,True,True,True
1.1.0,node-score-aware-lemonade-reselection,pilot-002,n71,n8,targeted,0.2,20,100,246,3,36,5,3,12,node_score_aware_delta_0.50,3,0.9252314814814815,1.006996124031008,0.51953125,0.48046875,0.0,0.1074074074074074,1.0,0.0,1.0,5.333333333333333,0.13717105263157894,0.9949152542372882,0.4745762711864407,0.5,True,True,True
1.1.0,node-score-aware-lemonade-reselection,pilot-003,n60,n22,random,0.2,20,100,290,3,36,5,3,12,lemonade_reset,3,0.9505494505494506,1.0,0.4908854166666667,0.5091145833333333,0.0,0.0,1.0,0.0,1.0,1.6666666666666667,0.19096153846153843,0.8818181818181818,0.45454545454545453,,True,False,False
