schema_version,experiment,seed,condition,compromise_fraction,required_fragments,emitted_fragments,recovery_fragments,redundancy_factor,bandwidth_overhead,magnet_strength,wandering_strength,hop_budget,custody_rounds,message_reconstructed,effective_reconstruction_ratio,reconstruction_margin,delivered_total,primary_delivered,recovery_delivered,clean_reconstruction,delivered_compromised_fragments,mean_hop_count,mean_transport_delivery_ratio,loop_rate,dead_end_rate,mean_compromised_relays_per_fragment,reticulum_graph_visible,voxmesh_knows_reticulum_identity,reticulum_knows_whisper_payload
1.3.2,redundancy-compensated-pressure-routing,run-001,random,0.2,100,111,11,1.1,1.11,6.0,0.5,12,4,False,0.95,-5,95,85,10,False,66,4.882882882882883,0.6925132925132925,0.02702702702702703,0.009009009009009009,1.117117117117117,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,random,0.2,100,115,15,1.15,1.15,6.0,0.5,12,4,False,0.98,-2,98,85,13,False,68,4.843478260869565,0.6892850868937825,0.02608695652173913,0.008695652173913044,1.1130434782608696,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,random,0.2,100,120,20,1.2,1.2,6.0,0.5,12,4,True,1.0,0,100,85,15,False,69,4.758333333333334,0.6744537638287639,0.025,0.008333333333333333,1.0916666666666666,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,random,0.2,100,125,25,1.25,1.25,6.0,0.5,12,4,True,1.0,5,105,85,20,False,74,4.712,0.6772089466089466,0.024,0.008,1.096,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,targeted,0.2,100,111,11,1.1,1.11,6.0,0.5,12,4,False,0.95,-5,95,85,10,False,81,4.882882882882883,0.6925132925132925,0.02702702702702703,0.009009009009009009,2.171171171171171,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,targeted,0.2,100,115,15,1.15,1.15,6.0,0.5,12,4,False,0.98,-2,98,85,13,False,83,4.843478260869565,0.6892850868937825,0.02608695652173913,0.008695652173913044,2.1652173913043478,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,targeted,0.2,100,120,20,1.2,1.2,6.0,0.5,12,4,True,1.0,0,100,85,15,False,85,4.758333333333334,0.6744537638287639,0.025,0.008333333333333333,2.1416666666666666,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,targeted,0.2,100,125,25,1.25,1.25,6.0,0.5,12,4,True,1.0,5,105,85,20,False,90,4.712,0.6772089466089466,0.024,0.008,2.12,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,behavioral,0.2,100,111,11,1.1,1.11,6.0,0.5,12,4,False,0.89,-11,89,80,9,False,0,4.36036036036036,0.6335969085969086,0.036036036036036036,0.009009009009009009,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,behavioral,0.2,100,115,15,1.15,1.15,6.0,0.5,12,4,False,0.92,-8,92,80,12,False,0,4.278260869565218,0.6289500596022335,0.034782608695652174,0.008695652173913044,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,behavioral,0.2,100,120,20,1.2,1.2,6.0,0.5,12,4,False,0.94,-6,94,80,14,False,0,4.141666666666667,0.6135771404521404,0.03333333333333333,0.008333333333333333,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,behavioral,0.2,100,125,25,1.25,1.25,6.0,0.5,12,4,False,0.99,-1,99,80,19,False,0,4.368,0.6263673881673881,0.032,0.008,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,random,0.2,100,111,11,1.1,1.11,6.0,0.5,12,4,False,0.86,-14,86,75,11,False,58,4.927927927927928,0.6408541658541659,0.036036036036036036,0.0,1.2702702702702702,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,random,0.2,100,115,15,1.15,1.15,6.0,0.5,12,4,False,0.9,-10,90,75,15,False,60,4.878260869565217,0.6435635861722818,0.034782608695652174,0.0,1.2608695652173914,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,random,0.2,100,120,20,1.2,1.2,6.0,0.5,12,4,False,0.95,-5,95,75,20,False,63,4.833333333333333,0.645220658970659,0.03333333333333333,0.0,1.25,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,random,0.2,100,125,25,1.25,1.25,6.0,0.5,12,4,False,0.99,-1,99,75,24,False,66,4.824,0.6456594516594517,0.032,0.0,1.248,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,targeted,0.2,100,111,11,1.1,1.11,6.0,0.5,12,4,False,0.86,-14,86,75,11,False,75,4.927927927927928,0.6408541658541659,0.036036036036036036,0.0,1.864864864864865,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,targeted,0.2,100,115,15,1.15,1.15,6.0,0.5,12,4,False,0.9,-10,90,75,15,False,79,4.878260869565217,0.6435635861722818,0.034782608695652174,0.0,1.8695652173913044,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,targeted,0.2,100,120,20,1.2,1.2,6.0,0.5,12,4,False,0.95,-5,95,75,20,False,83,4.833333333333333,0.645220658970659,0.03333333333333333,0.0,1.85,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,targeted,0.2,100,125,25,1.25,1.25,6.0,0.5,12,4,False,0.99,-1,99,75,24,False,86,4.824,0.6456594516594517,0.032,0.0,1.864,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,behavioral,0.2,100,111,11,1.1,1.11,6.0,0.5,12,4,False,0.87,-13,87,77,10,False,0,4.441441441441442,0.6274976274976275,0.06306306306306306,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,behavioral,0.2,100,115,15,1.15,1.15,6.0,0.5,12,4,False,0.91,-9,91,77,14,False,0,4.51304347826087,0.6355888073279378,0.06086956521739131,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,behavioral,0.2,100,120,20,1.2,1.2,6.0,0.5,12,4,False,0.95,-5,95,77,18,False,0,4.483333333333333,0.6334114959114959,0.058333333333333334,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,behavioral,0.2,100,125,25,1.25,1.25,6.0,0.5,12,4,False,0.99,-1,99,77,22,False,0,4.496,0.6346655122655123,0.056,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,random,0.2,100,111,11,1.1,1.11,6.0,0.5,12,4,False,0.94,-6,94,85,9,False,65,4.621621621621622,0.679017979017979,0.018018018018018018,0.0,1.1441441441441442,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,random,0.2,100,115,15,1.15,1.15,6.0,0.5,12,4,False,0.98,-2,98,85,13,False,69,4.678260869565217,0.6828533785055524,0.017391304347826087,0.0,1.1652173913043478,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,random,0.2,100,120,20,1.2,1.2,6.0,0.5,12,4,True,1.0,3,103,85,18,False,70,4.583333333333333,0.6814844877344878,0.016666666666666666,0.0,1.125,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,random,0.2,100,125,25,1.25,1.25,6.0,0.5,12,4,True,1.0,7,107,85,22,False,72,4.528,0.6774155844155844,0.016,0.0,1.104,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,targeted,0.2,100,111,11,1.1,1.11,6.0,0.5,12,4,False,0.94,-6,94,85,9,False,76,4.621621621621622,0.679017979017979,0.018018018018018018,0.0,1.9189189189189189,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,targeted,0.2,100,115,15,1.15,1.15,6.0,0.5,12,4,False,0.98,-2,98,85,13,False,79,4.678260869565217,0.6828533785055524,0.017391304347826087,0.0,1.982608695652174,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,targeted,0.2,100,120,20,1.2,1.2,6.0,0.5,12,4,True,1.0,3,103,85,18,False,83,4.583333333333333,0.6814844877344878,0.016666666666666666,0.0,1.9416666666666667,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,targeted,0.2,100,125,25,1.25,1.25,6.0,0.5,12,4,True,1.0,7,107,85,22,False,87,4.528,0.6774155844155844,0.016,0.0,1.928,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,behavioral,0.2,100,111,11,1.1,1.11,6.0,0.5,12,4,False,0.96,-4,96,87,9,False,0,5.054054054054054,0.6996151996151996,0.02702702702702703,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,behavioral,0.2,100,115,15,1.15,1.15,6.0,0.5,12,4,True,1.0,0,100,87,13,True,0,5.139130434782609,0.7042662651358303,0.02608695652173913,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,behavioral,0.2,100,120,20,1.2,1.2,6.0,0.5,12,4,True,1.0,4,104,87,17,True,0,5.066666666666666,0.700040885040885,0.025,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,behavioral,0.2,100,125,25,1.25,1.25,6.0,0.5,12,4,True,1.0,8,108,87,21,True,0,5.048,0.6965119769119769,0.032,0.0,0.0,False,False,False
