schema_version,experiment,seed,condition,compromise_fraction,required_fragments,emitted_fragments,recovery_fragments,redundancy_factor,bandwidth_overhead,magnet_strength,wandering_strength,hop_budget,custody_rounds,message_reconstructed,effective_reconstruction_ratio,reconstruction_margin,delivered_total,primary_delivered,recovery_delivered,clean_reconstruction,delivered_compromised_fragments,mean_hop_count,mean_transport_delivery_ratio,loop_rate,dead_end_rate,mean_compromised_relays_per_fragment,reticulum_graph_visible,voxmesh_knows_reticulum_identity,reticulum_knows_whisper_payload
1.3.2,redundancy-compensated-pressure-routing,fine-000,random,0.2,100,120,20,1.2,1.2,6.0,0.5,12,5,False,0.98,-2,98,79,19,False,68,4.425,0.63998556998557,0.041666666666666664,0.0,1.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-000,random,0.2,100,122,22,1.22,1.22,6.0,0.5,12,5,True,1.0,0,100,79,21,False,70,4.524590163934426,0.6450677737562983,0.040983606557377046,0.0,1.040983606557377,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-000,random,0.2,100,125,25,1.25,1.25,6.0,0.5,12,5,True,1.0,3,103,79,24,False,72,4.448,0.6429194805194806,0.04,0.0,1.032,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-000,random,0.2,100,128,28,1.28,1.28,6.0,0.5,12,5,True,1.0,6,106,79,27,False,74,4.4765625,0.6477078260281385,0.0390625,0.0,1.03125,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-000,random,0.2,100,130,30,1.3,1.3,6.0,0.5,12,5,True,1.0,7,107,79,28,False,75,4.430769230769231,0.643512321012321,0.038461538461538464,0.0,1.023076923076923,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-000,targeted,0.2,100,120,20,1.2,1.2,6.0,0.5,12,5,False,0.98,-2,98,79,19,False,87,4.425,0.63998556998557,0.041666666666666664,0.0,1.7666666666666666,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-000,targeted,0.2,100,122,22,1.22,1.22,6.0,0.5,12,5,True,1.0,0,100,79,21,False,89,4.524590163934426,0.6450677737562983,0.040983606557377046,0.0,1.8032786885245902,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-000,targeted,0.2,100,125,25,1.25,1.25,6.0,0.5,12,5,True,1.0,3,103,79,24,False,90,4.448,0.6429194805194806,0.04,0.0,1.768,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-000,targeted,0.2,100,128,28,1.28,1.28,6.0,0.5,12,5,True,1.0,6,106,79,27,False,93,4.4765625,0.6477078260281385,0.0390625,0.0,1.7890625,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-000,targeted,0.2,100,130,30,1.3,1.3,6.0,0.5,12,5,True,1.0,7,107,79,28,False,93,4.430769230769231,0.643512321012321,0.038461538461538464,0.0,1.7692307692307692,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-000,behavioral,0.2,100,120,20,1.2,1.2,6.0,0.5,12,5,True,1.0,3,103,85,18,True,0,5,0.6903457190957191,0.05,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-000,behavioral,0.2,100,122,22,1.22,1.22,6.0,0.5,12,5,True,1.0,4,104,85,19,True,0,4.942622950819672,0.6851761171433303,0.04918032786885246,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-000,behavioral,0.2,100,125,25,1.25,1.25,6.0,0.5,12,5,True,1.0,7,107,85,22,True,0,4.936,0.6847318903318903,0.048,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-000,behavioral,0.2,100,128,28,1.28,1.28,6.0,0.5,12,5,True,1.0,10,110,85,25,True,0,4.96875,0.6889122812950937,0.046875,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-000,behavioral,0.2,100,130,30,1.3,1.3,6.0,0.5,12,5,True,1.0,12,112,85,27,True,0,4.946153846153846,0.6898520923520923,0.046153846153846156,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-001,random,0.2,100,120,20,1.2,1.2,6.0,0.5,12,5,True,1.0,3,103,85,18,False,74,4.925,0.6935936748436748,0.075,0.0,1.275,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-001,random,0.2,100,122,22,1.22,1.22,6.0,0.5,12,5,True,1.0,5,105,85,20,False,76,4.959016393442623,0.6958844889172758,0.07377049180327869,0.0,1.278688524590164,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-001,random,0.2,100,125,25,1.25,1.25,6.0,0.5,12,5,True,1.0,7,107,85,22,False,77,4.864,0.6885165945165945,0.072,0.0,1.256,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-001,random,0.2,100,128,28,1.28,1.28,6.0,0.5,12,5,True,1.0,10,110,85,25,False,79,4.875,0.6899576118326118,0.0703125,0.0,1.2734375,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-001,random,0.2,100,130,30,1.3,1.3,6.0,0.5,12,5,True,1.0,12,112,85,27,False,81,4.946153846153846,0.6932317682317682,0.06923076923076923,0.0,1.3,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-001,targeted,0.2,100,120,20,1.2,1.2,6.0,0.5,12,5,True,1.0,3,103,85,18,False,82,4.925,0.6935936748436748,0.075,0.0,2.2,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-001,targeted,0.2,100,122,22,1.22,1.22,6.0,0.5,12,5,True,1.0,5,105,85,20,False,84,4.959016393442623,0.6958844889172758,0.07377049180327869,0.0,2.2131147540983607,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-001,targeted,0.2,100,125,25,1.25,1.25,6.0,0.5,12,5,True,1.0,7,107,85,22,False,86,4.864,0.6885165945165945,0.072,0.0,2.176,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-001,targeted,0.2,100,128,28,1.28,1.28,6.0,0.5,12,5,True,1.0,10,110,85,25,False,88,4.875,0.6899576118326118,0.0703125,0.0,2.171875,False,False,False
1.3.2,redundancy-compensated-pressure-routing,fine-001,targeted,0.2,100,130,30,1.3,1.3,6.0,0.5,12,5,True,1.0,12,112,85,27,False,90,4.946153846153846,0.6932317682317682,0.06923076923076923,0.0,2.230769230769231,False,False,False
