schema_version,experiment,seed,condition,compromise_fraction,required_fragments,emitted_fragments,recovery_fragments,redundancy_factor,bandwidth_overhead,magnet_strength,wandering_strength,hop_budget,custody_rounds,message_reconstructed,effective_reconstruction_ratio,reconstruction_margin,delivered_total,primary_delivered,recovery_delivered,clean_reconstruction,delivered_compromised_fragments,mean_hop_count,mean_transport_delivery_ratio,loop_rate,dead_end_rate,mean_compromised_relays_per_fragment,reticulum_graph_visible,voxmesh_knows_reticulum_identity,reticulum_knows_whisper_payload
1.3.2,redundancy-compensated-pressure-routing,run-001,random,0.2,100,100,0,1.0,1.0,6.0,0.5,12,3,False,0.83,-17,83,83,0,False,59,4.87,0.6902968975468975,0.03,0.01,1.11,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,random,0.2,100,105,5,1.05,1.05,6.0,0.5,12,3,False,0.87,-13,87,83,4,False,62,4.9523809523809526,0.6911557754414898,0.02857142857142857,0.009523809523809525,1.1428571428571428,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,random,0.2,100,111,11,1.1,1.11,6.0,0.5,12,3,False,0.93,-7,93,83,10,False,65,4.882882882882883,0.6925132925132925,0.02702702702702703,0.009009009009009009,1.117117117117117,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,random,0.2,100,115,15,1.15,1.15,6.0,0.5,12,3,False,0.96,-4,96,83,13,False,67,4.843478260869565,0.6892850868937825,0.02608695652173913,0.008695652173913044,1.1130434782608696,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,random,0.2,100,125,25,1.25,1.25,6.0,0.5,12,3,True,1.0,2,102,83,19,False,72,4.712,0.6772089466089466,0.024,0.008,1.096,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,targeted,0.2,100,100,0,1.0,1.0,6.0,0.5,12,3,False,0.83,-17,83,83,0,False,73,4.87,0.6902968975468975,0.03,0.01,2.21,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,targeted,0.2,100,105,5,1.05,1.05,6.0,0.5,12,3,False,0.87,-13,87,83,4,False,76,4.9523809523809526,0.6911557754414898,0.02857142857142857,0.009523809523809525,2.219047619047619,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,targeted,0.2,100,111,11,1.1,1.11,6.0,0.5,12,3,False,0.93,-7,93,83,10,False,80,4.882882882882883,0.6925132925132925,0.02702702702702703,0.009009009009009009,2.171171171171171,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,targeted,0.2,100,115,15,1.15,1.15,6.0,0.5,12,3,False,0.96,-4,96,83,13,False,82,4.843478260869565,0.6892850868937825,0.02608695652173913,0.008695652173913044,2.1652173913043478,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-001,targeted,0.2,100,125,25,1.25,1.25,6.0,0.5,12,3,True,1.0,2,102,83,19,False,88,4.712,0.6772089466089466,0.024,0.008,2.12,False,False,False
