schema_version,seed,source,target,compromise_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,anomaly_detected,memory_rewrite,purge_triggered,reset_epoch_pre,reset_epoch_post,pre_alarm_path_count,post_candidate_count,random_multipath_reset:post_reset_path_distance_from_pre_alarm,random_multipath_reset:state_break_distance,random_multipath_reset:state_continuity_score,random_multipath_reset:lane_collapse_rate,random_multipath_reset:path_overlap,random_multipath_reset:unique_path_ratio,random_multipath_reset:clean_path_ratio,random_multipath_reset:path_compromise_rate,random_multipath_reset:mean_compromised_nodes_per_path,state_aware_reset:post_reset_path_distance_from_pre_alarm,state_aware_reset:state_break_distance,state_aware_reset:state_continuity_score,state_aware_reset:lane_collapse_rate,state_aware_reset:path_overlap,state_aware_reset:unique_path_ratio,state_aware_reset:clean_path_ratio,state_aware_reset:path_compromise_rate,state_aware_reset:mean_compromised_nodes_per_path,lemonade_reset:post_reset_path_distance_from_pre_alarm,lemonade_reset:state_break_distance,lemonade_reset:state_continuity_score,lemonade_reset:lane_collapse_rate,lemonade_reset:path_overlap,lemonade_reset:unique_path_ratio,lemonade_reset:clean_path_ratio,lemonade_reset:path_compromise_rate,lemonade_reset:mean_compromised_nodes_per_path,delta_lemonade_vs_state_aware:path_break,delta_lemonade_vs_random:path_break
1.0.0,pilot-000,n4,n54,random,0.2,20,100,250,3,36,True,True,True,0,1,1,1,0.0,0.51171875,0.48828125,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.55078125,0.44921875,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.484375,0.515625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0.0,pilot-001,n89,n84,random,0.2,20,100,241,3,36,True,True,True,0,1,3,12,0.9212072649572649,0.4609375,0.5390625,0.0,0.08333333333333333,1.0,0.3333333333333333,0.6666666666666666,2.0,0.6571428571428571,0.5286458333333334,0.47135416666666663,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,2.0,0.9800595238095239,0.46875,0.53125,0.0,0.06845238095238095,1.0,0.0,1.0,3.6666666666666665,0.32291666666666674,0.058852258852258976
1.0.0,pilot-002,n71,n8,random,0.2,20,100,246,3,36,True,True,True,0,1,3,12,0.5297619047619048,0.515625,0.484375,0.0,0.31666666666666665,1.0,0.0,1.0,1.6666666666666667,0.6114774114774114,0.4869791666666667,0.5130208333333333,0.0,0.12037037037037036,1.0,0.0,1.0,3.6666666666666665,0.903144078144078,0.5260416666666666,0.47395833333333337,0.0,0.17037037037037037,1.0,0.0,1.0,4.0,0.29166666666666663,0.3733821733821733
1.0.0,pilot-003,n60,n22,random,0.2,20,100,290,3,36,True,True,True,0,1,3,12,0.9082588335461899,0.5026041666666666,0.49739583333333337,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,2.0,0.6551724137931035,0.5247395833333334,0.47526041666666663,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.9885057471264368,0.51953125,0.48046875,0.0,0.08888888888888889,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.33333333333333326,0.08024691358024694
1.0.0,pilot-004,n18,n34,random,0.2,20,100,248,3,36,True,True,True,0,1,1,1,0.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.44921875,0.55078125,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.4921875,0.5078125,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0.0,pilot-005,n94,n10,random,0.2,20,100,230,3,36,True,True,True,0,1,3,12,0.6025867136978248,0.47265625,0.52734375,0.0,0.4166666666666667,1.0,0.3333333333333333,0.6666666666666666,3.3333333333333335,0.579337899543379,0.5104166666666666,0.48958333333333337,0.0,0.07142857142857142,1.0,0.0,1.0,4.666666666666667,0.8963720244322881,0.50390625,0.49609375,0.0,0.13580246913580246,1.0,0.0,1.0,4.333333333333333,0.31703412488890914,0.29378531073446335
1.0.0,pilot-006,n92,n41,random,0.2,20,100,237,3,36,True,True,True,0,1,3,12,0.9127272727272727,0.484375,0.515625,0.0,0.2510822510822511,1.0,0.0,1.0,2.6666666666666665,0.6285057471264368,0.5104166666666666,0.48958333333333337,0.0,0.023809523809523808,1.0,0.0,1.0,3.6666666666666665,0.9601833070392908,0.5052083333333334,0.49479166666666663,0.0,0.08888888888888889,1.0,0.0,1.0,5.333333333333333,0.33167755991285397,0.04745603431201806
1.0.0,pilot-007,n83,n46,random,0.2,20,100,273,3,36,True,True,True,0,1,3,12,0.632815611310235,0.4830729166666667,0.5169270833333333,0.0,0.023809523809523808,1.0,0.3333333333333333,0.6666666666666666,2.0,0.6243279569892474,0.4700520833333333,0.5299479166666667,0.0,0.017543859649122806,1.0,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.9522049411162316,0.4713541666666667,0.5286458333333333,0.0,0.08333333333333333,1.0,0.3333333333333333,0.6666666666666666,2.0,0.3278769841269842,0.31938932980599655
1.0.0,pilot-008,n79,n63,random,0.2,20,100,275,3,36,True,True,True,0,1,3,12,0.8881943021110884,0.48828125,0.51171875,0.0,0.33076923076923076,1.0,0.0,1.0,7.666666666666667,0.5549872122762148,0.4908854166666667,0.5091145833333333,0.0,0.09523809523809523,1.0,0.0,1.0,5.333333333333333,0.9348370927318296,0.5065104166666666,0.49348958333333337,0.0,0.18596491228070175,1.0,0.0,1.0,3.3333333333333335,0.37984988045561474,0.04664279062074117
1.0.0,pilot-009,n28,n53,random,0.2,20,100,229,3,36,True,True,True,0,1,3,12,0.8211111111111111,0.5052083333333334,0.49479166666666663,0.0,0.1111111111111111,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5882051282051282,0.5403645833333334,0.45963541666666663,0.0,0.16666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,0.9067787114845939,0.51171875,0.48828125,0.0,0.05897435897435898,1.0,0.0,1.0,3.3333333333333335,0.3185735832794657,0.08566760037348276
