schema_version,seed,source,target,compromise_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,anomaly_detected,memory_rewrite,purge_triggered,reset_epoch_pre,reset_epoch_post,pre_alarm_path_count,post_candidate_count,random_multipath_reset:post_reset_path_distance_from_pre_alarm,random_multipath_reset:state_break_distance,random_multipath_reset:state_continuity_score,random_multipath_reset:lane_collapse_rate,random_multipath_reset:path_overlap,random_multipath_reset:unique_path_ratio,random_multipath_reset:clean_path_ratio,random_multipath_reset:path_compromise_rate,random_multipath_reset:mean_compromised_nodes_per_path,state_aware_reset:post_reset_path_distance_from_pre_alarm,state_aware_reset:state_break_distance,state_aware_reset:state_continuity_score,state_aware_reset:lane_collapse_rate,state_aware_reset:path_overlap,state_aware_reset:unique_path_ratio,state_aware_reset:clean_path_ratio,state_aware_reset:path_compromise_rate,state_aware_reset:mean_compromised_nodes_per_path,lemonade_reset:post_reset_path_distance_from_pre_alarm,lemonade_reset:state_break_distance,lemonade_reset:state_continuity_score,lemonade_reset:lane_collapse_rate,lemonade_reset:path_overlap,lemonade_reset:unique_path_ratio,lemonade_reset:clean_path_ratio,lemonade_reset:path_compromise_rate,lemonade_reset:mean_compromised_nodes_per_path,delta_lemonade_vs_state_aware:path_break,delta_lemonade_vs_random:path_break
1.0.0,pilot-000,n4,n54,random,0.2,20,100,250,3,36,True,True,True,0,1,1,1,0.0,0.51171875,0.48828125,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.55078125,0.44921875,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.484375,0.515625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0.0,pilot-000,n4,n54,targeted,0.2,20,100,250,3,36,True,True,True,0,1,1,1,0.0,0.51171875,0.48828125,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.55078125,0.44921875,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.484375,0.515625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0.0,pilot-001,n89,n84,random,0.2,20,100,241,3,36,True,True,True,0,1,3,12,0.8504065040650407,0.5208333333333334,0.47916666666666663,0.0,0.2236842105263158,1.0,0.3333333333333333,0.6666666666666666,5.0,0.5933528836754643,0.5377604166666666,0.46223958333333337,0.0,0.06666666666666667,1.0,0.6666666666666666,0.3333333333333333,2.0,0.9500891265597148,0.4830729166666667,0.5169270833333333,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,2.0,0.35673624288425043,0.09968262249467408
1.0.0,pilot-001,n89,n84,targeted,0.2,20,100,241,3,36,True,True,True,0,1,3,12,0.8504065040650407,0.5208333333333334,0.47916666666666663,0.0,0.2236842105263158,1.0,0.0,1.0,6.333333333333333,0.5933528836754643,0.5377604166666666,0.46223958333333337,0.0,0.06666666666666667,1.0,0.0,1.0,3.0,0.9500891265597148,0.4830729166666667,0.5169270833333333,0.0,0.0,1.0,0.0,1.0,3.6666666666666665,0.35673624288425043,0.09968262249467408
1.0.0,pilot-002,n71,n8,random,0.2,20,100,246,3,36,True,True,True,0,1,3,12,0.5694444444444445,0.4869791666666667,0.5130208333333333,0.0,0.31666666666666665,1.0,0.0,1.0,1.3333333333333333,0.5924059139784946,0.5052083333333334,0.49479166666666663,0.0,0.10416666666666667,1.0,0.0,1.0,2.6666666666666665,0.8701836917562723,0.5052083333333334,0.49479166666666663,0.0,0.08750000000000001,1.0,0.0,1.0,3.0,0.2777777777777777,0.3007392473118278
1.0.0,pilot-002,n71,n8,targeted,0.2,20,100,246,3,36,True,True,True,0,1,3,12,0.5694444444444445,0.4869791666666667,0.5130208333333333,0.0,0.31666666666666665,1.0,0.0,1.0,1.3333333333333333,0.5924059139784946,0.5052083333333334,0.49479166666666663,0.0,0.10416666666666667,1.0,0.0,1.0,2.6666666666666665,0.8701836917562723,0.5052083333333334,0.49479166666666663,0.0,0.08750000000000001,1.0,0.0,1.0,3.0,0.2777777777777777,0.3007392473118278
1.0.0,pilot-003,n60,n22,random,0.2,20,100,290,3,36,True,True,True,0,1,3,12,0.9529320987654321,0.5299479166666666,0.47005208333333337,0.0,0.05555555555555555,1.0,0.3333333333333333,0.6666666666666666,1.0,0.6068007662835249,0.5130208333333334,0.48697916666666663,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,2.0,0.9411799620132953,0.5052083333333334,0.49479166666666663,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3343791957297705,-0.01175213675213671
1.0.0,pilot-003,n60,n22,targeted,0.2,20,100,290,3,36,True,True,True,0,1,3,12,0.9529320987654321,0.5299479166666666,0.47005208333333337,0.0,0.05555555555555555,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.6068007662835249,0.5130208333333334,0.48697916666666663,0.0,0.0,1.0,0.0,1.0,2.3333333333333335,0.9411799620132953,0.5052083333333334,0.49479166666666663,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.3343791957297705,-0.01175213675213671
1.0.0,pilot-004,n18,n34,random,0.2,20,100,248,3,36,True,True,True,0,1,1,1,0.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.44921875,0.55078125,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.4921875,0.5078125,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0.0,pilot-004,n18,n34,targeted,0.2,20,100,248,3,36,True,True,True,0,1,1,1,0.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.44921875,0.55078125,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.4921875,0.5078125,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
