schema_version,experiment,seed,case,reason,accepted,expected_acceptance,passed,session_hash_prefix
1.4.0,session-reactivation-prevention,reactivation-000,valid_active_fragment,active session with valid fragment tag,True,True,True,28609ccd8f476913
1.4.0,session-reactivation-prevention,reactivation-000,bad_fragment_tag,bad fragment tag cannot validate,False,False,True,28609ccd8f476913
1.4.0,session-reactivation-prevention,reactivation-000,revoked_session_fragment,locally revoked session cannot accept fragment,False,False,True,28609ccd8f476913
1.4.0,session-reactivation-prevention,reactivation-000,valid_capsule_first_use,valid capsule first use,True,True,True,28609ccd8f476913
1.4.0,session-reactivation-prevention,reactivation-000,consumed_capsule_reactivation,consumed capsule cannot reactivate session material,False,False,True,28609ccd8f476913
1.4.0,session-reactivation-prevention,reactivation-000,bad_capsule_tag,bad capsule tag cannot validate,False,False,True,28609ccd8f476913
1.4.0,session-reactivation-prevention,reactivation-000,post_shutdown_fragment,post-shutdown fragment cannot reactivate closed session,False,False,True,28609ccd8f476913
1.4.0,session-reactivation-prevention,reactivation-000,dormant_flv_cannot_reactivate,"valid dormant FLV is evidence, not active life",False,False,True,28609ccd8f476913
1.4.0,session-reactivation-prevention,reactivation-000,old_start_seal_cannot_reopen,old start seal proves birth but cannot reopen session,False,False,True,28609ccd8f476913
1.4.0,session-reactivation-prevention,reactivation-000,old_close_seal_cannot_reopen,old close seal proves death but cannot reopen session,False,False,True,28609ccd8f476913
1.4.0,session-reactivation-prevention,reactivation-000,old_repair_hash_cannot_repair_closed_session,repair hash may exist but cannot repair closed session,False,False,True,28609ccd8f476913
1.4.0,session-reactivation-prevention,reactivation-001,valid_active_fragment,active session with valid fragment tag,True,True,True,32c263e2df1bd0de
1.4.0,session-reactivation-prevention,reactivation-001,bad_fragment_tag,bad fragment tag cannot validate,False,False,True,32c263e2df1bd0de
1.4.0,session-reactivation-prevention,reactivation-001,revoked_session_fragment,locally revoked session cannot accept fragment,False,False,True,32c263e2df1bd0de
1.4.0,session-reactivation-prevention,reactivation-001,valid_capsule_first_use,valid capsule first use,True,True,True,32c263e2df1bd0de
1.4.0,session-reactivation-prevention,reactivation-001,consumed_capsule_reactivation,consumed capsule cannot reactivate session material,False,False,True,32c263e2df1bd0de
1.4.0,session-reactivation-prevention,reactivation-001,bad_capsule_tag,bad capsule tag cannot validate,False,False,True,32c263e2df1bd0de
1.4.0,session-reactivation-prevention,reactivation-001,post_shutdown_fragment,post-shutdown fragment cannot reactivate closed session,False,False,True,32c263e2df1bd0de
1.4.0,session-reactivation-prevention,reactivation-001,dormant_flv_cannot_reactivate,"valid dormant FLV is evidence, not active life",False,False,True,32c263e2df1bd0de
1.4.0,session-reactivation-prevention,reactivation-001,old_start_seal_cannot_reopen,old start seal proves birth but cannot reopen session,False,False,True,32c263e2df1bd0de
1.4.0,session-reactivation-prevention,reactivation-001,old_close_seal_cannot_reopen,old close seal proves death but cannot reopen session,False,False,True,32c263e2df1bd0de
1.4.0,session-reactivation-prevention,reactivation-001,old_repair_hash_cannot_repair_closed_session,repair hash may exist but cannot repair closed session,False,False,True,32c263e2df1bd0de
1.4.0,session-reactivation-prevention,reactivation-002,valid_active_fragment,active session with valid fragment tag,True,True,True,c1ce05166fc2111f
1.4.0,session-reactivation-prevention,reactivation-002,bad_fragment_tag,bad fragment tag cannot validate,False,False,True,c1ce05166fc2111f
