schema_version,experiment,seed,condition,compromise_fraction,node_count,known_logical_edge_count,compromised_node_count,hop_budget,policy,magnet_strength,source_relay,hop_count,path_len,transport_attempts,transport_failures,transport_success,loop_detected,compromised_relays,clean_path,path_compromise_rate,voxmesh_knows_reticulum_identity,reticulum_knows_whisper_payload,reticulum_graph_visible
1.3.0,sol-link-magnetic-logical-routing,pilot-000,random,0.2,100,500,20,12,sol_link_magnetic_hop_by_hop,0.0,n81,12,13,12,0,True,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-000,random,0.2,100,500,20,12,sol_link_magnetic_hop_by_hop,1.0,n81,5,6,6,1,False,False,3,False,0.5,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-000,random,0.2,100,500,20,12,sol_link_magnetic_hop_by_hop,2.0,n81,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-000,random,0.2,100,500,20,12,sol_link_magnetic_hop_by_hop,4.0,n81,3,4,4,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-000,random,0.2,100,500,20,12,sol_link_magnetic_hop_by_hop,8.0,n81,12,13,12,0,True,False,3,False,0.23076923076923078,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-000,targeted,0.2,100,500,20,12,sol_link_magnetic_hop_by_hop,0.0,n81,12,13,12,0,True,False,7,False,0.5384615384615384,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-000,targeted,0.2,100,500,20,12,sol_link_magnetic_hop_by_hop,1.0,n81,5,6,6,1,False,False,4,False,0.6666666666666666,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-000,targeted,0.2,100,500,20,12,sol_link_magnetic_hop_by_hop,2.0,n81,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-000,targeted,0.2,100,500,20,12,sol_link_magnetic_hop_by_hop,4.0,n81,3,4,4,1,False,False,1,False,0.25,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-000,targeted,0.2,100,500,20,12,sol_link_magnetic_hop_by_hop,8.0,n81,12,13,12,0,True,False,3,False,0.23076923076923078,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-000,behavioral,0.2,100,500,0,12,sol_link_magnetic_hop_by_hop,0.0,n81,3,4,4,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-000,behavioral,0.2,100,500,0,12,sol_link_magnetic_hop_by_hop,1.0,n81,10,11,11,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-000,behavioral,0.2,100,500,0,12,sol_link_magnetic_hop_by_hop,2.0,n81,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-000,behavioral,0.2,100,500,0,12,sol_link_magnetic_hop_by_hop,4.0,n81,1,2,2,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-000,behavioral,0.2,100,500,0,12,sol_link_magnetic_hop_by_hop,8.0,n81,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,random,0.2,100,482,20,12,sol_link_magnetic_hop_by_hop,0.0,n29,7,8,8,1,False,True,1,False,0.125,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,random,0.2,100,482,20,12,sol_link_magnetic_hop_by_hop,1.0,n29,6,7,7,1,False,False,1,False,0.14285714285714285,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,random,0.2,100,482,20,12,sol_link_magnetic_hop_by_hop,2.0,n29,3,4,4,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,random,0.2,100,482,20,12,sol_link_magnetic_hop_by_hop,4.0,n29,9,10,10,1,False,True,4,False,0.4,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,random,0.2,100,482,20,12,sol_link_magnetic_hop_by_hop,8.0,n29,12,13,12,0,True,False,3,False,0.23076923076923078,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,targeted,0.2,100,482,20,12,sol_link_magnetic_hop_by_hop,0.0,n29,7,8,8,1,False,True,3,False,0.375,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,targeted,0.2,100,482,20,12,sol_link_magnetic_hop_by_hop,1.0,n29,6,7,7,1,False,False,3,False,0.42857142857142855,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,targeted,0.2,100,482,20,12,sol_link_magnetic_hop_by_hop,2.0,n29,3,4,4,1,False,False,2,False,0.5,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,targeted,0.2,100,482,20,12,sol_link_magnetic_hop_by_hop,4.0,n29,9,10,10,1,False,True,4,False,0.4,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,targeted,0.2,100,482,20,12,sol_link_magnetic_hop_by_hop,8.0,n29,12,13,12,0,True,False,7,False,0.5384615384615384,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,behavioral,0.2,100,482,0,12,sol_link_magnetic_hop_by_hop,0.0,n29,12,13,12,0,True,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,behavioral,0.2,100,482,0,12,sol_link_magnetic_hop_by_hop,1.0,n29,1,2,2,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,behavioral,0.2,100,482,0,12,sol_link_magnetic_hop_by_hop,2.0,n29,1,2,2,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,behavioral,0.2,100,482,0,12,sol_link_magnetic_hop_by_hop,4.0,n29,2,3,3,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,behavioral,0.2,100,482,0,12,sol_link_magnetic_hop_by_hop,8.0,n29,10,11,11,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,random,0.2,100,492,20,12,sol_link_magnetic_hop_by_hop,0.0,n50,3,4,4,1,False,False,1,False,0.25,False,False,False
