schema_version,experiment,seed,condition,compromise_fraction,node_count,known_logical_edge_count,compromised_node_count,hop_budget,policy,magnet_strength,source_relay,hop_count,path_len,transport_attempts,transport_failures,transport_success,loop_detected,compromised_relays,clean_path,path_compromise_rate,voxmesh_knows_reticulum_identity,reticulum_knows_whisper_payload,reticulum_graph_visible
1.3.0,sol-link-magnetic-logical-routing,run-001,random,0.2,100,530,20,12,sol_link_magnetic_hop_by_hop,0.0,n64,6,7,7,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,run-001,random,0.2,100,530,20,12,sol_link_magnetic_hop_by_hop,1.0,n64,7,8,8,1,False,False,1,False,0.125,False,False,False
1.3.0,sol-link-magnetic-logical-routing,run-001,random,0.2,100,530,20,12,sol_link_magnetic_hop_by_hop,2.0,n64,4,5,5,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,run-001,random,0.2,100,530,20,12,sol_link_magnetic_hop_by_hop,4.0,n64,12,13,12,0,True,False,2,False,0.15384615384615385,False,False,False
1.3.0,sol-link-magnetic-logical-routing,run-001,random,0.2,100,530,20,12,sol_link_magnetic_hop_by_hop,8.0,n64,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,run-001,targeted,0.2,100,530,20,12,sol_link_magnetic_hop_by_hop,0.0,n64,6,7,7,1,False,False,3,False,0.42857142857142855,False,False,False
1.3.0,sol-link-magnetic-logical-routing,run-001,targeted,0.2,100,530,20,12,sol_link_magnetic_hop_by_hop,1.0,n64,7,8,8,1,False,False,3,False,0.375,False,False,False
1.3.0,sol-link-magnetic-logical-routing,run-001,targeted,0.2,100,530,20,12,sol_link_magnetic_hop_by_hop,2.0,n64,4,5,5,1,False,False,1,False,0.2,False,False,False
1.3.0,sol-link-magnetic-logical-routing,run-001,targeted,0.2,100,530,20,12,sol_link_magnetic_hop_by_hop,4.0,n64,12,13,12,0,True,False,5,False,0.38461538461538464,False,False,False
1.3.0,sol-link-magnetic-logical-routing,run-001,targeted,0.2,100,530,20,12,sol_link_magnetic_hop_by_hop,8.0,n64,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,run-001,behavioral,0.2,100,530,0,12,sol_link_magnetic_hop_by_hop,0.0,n64,4,5,5,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,run-001,behavioral,0.2,100,530,0,12,sol_link_magnetic_hop_by_hop,1.0,n64,6,7,7,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,run-001,behavioral,0.2,100,530,0,12,sol_link_magnetic_hop_by_hop,2.0,n64,4,5,5,1,False,True,0,True,0.0,False,False,False
